id,name,address,postalCode,district,city,latitude,longitude,hours,googleMapsUrl,cadeia,phone,email,storeUrl,category,services
,A Feira 3,da Estação nº114,3225 - 018,Viseu,Nelas,40.495787,-7.905033,,"https://www.google.com/maps?q=40.495787,-7.905033",AMANHECER,232281038,afeira3.7069@amanhecer.pt,,,
,A Feira II,Av. Infante Dom Henrique nº2,3450 - 202,Viseu,Mortágua,40.3885,-8.23851,,"https://www.google.com/maps?q=40.3885,-8.23851",AMANHECER,231920221,afeira2.3968@amanhecer.pt,,,
,A Loja da Aldeia,"Rua do Comércio nº62, R/C",2550 - 069,Lisboa,Cadaval,39.20685,-9.11107,,"https://www.google.com/maps?q=39.20685,-9.11107",AMANHECER,,alojadaaldeia.3667@amanhecer.pt,,,
,A Loja da Grace,Rua Professor Matias Lopes Raposo nº596,2200 - 684,Santarém,Abrantes,39.500875,-8.09428,,"https://www.google.com/maps?q=39.500875,-8.094280",AMANHECER,,alojadagrace.7094@amanhecer.pt,,,
,A Loja da Mónica,Urbanização Nova Conimbriga II nº0,3150 - 232,Coimbra,Condeixa-a-Nova,40.10863,-8.50775,,"https://www.google.com/maps?q=40.10863,-8.50775",AMANHECER,,alojadamonica.3707@amanhecer.pt,,,
,A Loja da Sara,Rua de Santa Catarina nº16,6060 - 224,Castelo Branco,Idanha-a-Nova,39.833144,-7.263259,,"https://www.google.com/maps?q=39.833144,-7.263259",AMANHECER,,alojadasara.3504@amanhecer.pt,,,
,A Loja da Vera,Rua de Casais nº1,3780 - 566,Aveiro,Anadia,40.4082,-8.39793,,"https://www.google.com/maps?q=40.40820,-8.39793",AMANHECER,,alojadavera.7170@amanhecer.pt,,,
,A Loja do Lino,"Rua da Liberdade nº14, R/C dto",2560 - 237,Lisboa,Torres Vedras,39.088609,-9.277969,,"https://www.google.com/maps?q=39.088609,-9.277969",AMANHECER,261323705,lojadolino.3339@amanhecer.pt,,,
,A Loja do Vizinho,Rua Major Aurélio Ricardo Belo nº18,2565 - 427,Lisboa,Torres Vedras,39.13754,-9.17581,,"https://www.google.com/maps?q=39.13754,-9.17581",AMANHECER,261919234,lojadovizinho.3373@amanhecer.pt,,,
,A Lojinha da Lurdes,"Rua 1º de Dezembro nº62, R/C",2330 - 085,Santarém,Entroncamento,39.467804,-8.477381,,"https://www.google.com/maps?q=39.467804,-8.477381",AMANHECER,249108602,lojinhadalurdes.7167@amanhecer.pt,,,
,A Menina da Horta,Beco do Aterro,2525 - 828,Leiria,Peniche,39.33176,-9.2708,,"https://www.google.com/maps?q=39.33176,-9.2708",AMANHECER,,ameninadahorta.7098@amanhecer.pt,,,
,A Mercearia,Rua da Escola nº11,2350 - 228,Santarém,Torres Novas,39.523934,-8.59146,,"https://www.google.com/maps?q=39.523934,-8.591460",AMANHECER,249831713,amercearia.3168@amanhecer.pt,,,
,A Mercearia da Torre,Rua Aurélia de Sousa nº12 D,2840 - 422,Setúbal,Seixal,38.614945,-9.10304,,"https://www.google.com/maps?q=38.614945,-9.10304",AMANHECER,,merceariadatorre.7160@amanhecer.pt,,,
,A Mercearia da Vila,"Larg 25  de Abril nº3, RC",7005 - 722,Évora,Évora,38.458171,-7.752642,,"https://www.google.com/maps?q=38.458171,-7.752642",AMANHECER,Não tem,amerceariadavila.3379@amanhecer.pt,,,
,A Mercearia da Vila - Belas,Avenida General Humberto Delgado nº4 B,2605 - 029,Lisboa,Sintra,38.77548,-9.25994,,"https://www.google.com/maps?q=38.77548,-9.25994",AMANHECER,,mercdavilabelas.3510@amanhecer.pt,,,
,A Mercearia do Bairro,Rua Doutor João Camoesas nº18,7350 - 214,Portalegre,Elvas,38.867145,-7.176491,,"https://www.google.com/maps?q=38.867145,-7.176491",AMANHECER,,mercdobairro.3991@amanhecer.pt,,,
,A Mercearia do Magoito,Largo do Comércio nº6,2705 - 660,Lisboa,Sintra,38.867624,-9.429877,,"https://www.google.com/maps?q=38.867624,-9.429877",AMANHECER,210998040,amercearia.3029@amanhecer.pt,,,
,A Nossa Aldeia,Rua 1º de Janeiro nº552,2435 - 391,Santarém,Ourém,39.741016,-8.664654,,"https://www.google.com/maps?q=39.741016,-8.664654",AMANHECER,244739171,anossaaldeia.3213@amanhecer.pt,,,
,A Nossa Despensa,Avenida da Lisberdade nº52 D,2530 - 628,Lisboa,Lourinhã,39.20206,-9.33046,,"https://www.google.com/maps?q=39.20206,-9.33046",AMANHECER,,anossadespensa3425.3425@amanhecer.pt,,,
,A Nova Mercearia,Largo Almas de Areosa nº864,3750 - 043,Aveiro,Águeda,40.50782,-8.43164,,"https://www.google.com/maps?q=40.50782,-8.43164",AMANHECER,,anovamercearia.3171@amanhecer.pt,,,
