name,address,postalCode,city,zone,latitude,longitude,hours,phone,email,googleMapsUrl,storeUrl
Balcão Agrícola - Garcia,Rua Central nº114 A,2430 - 017,Marinha Grande,Leiria,39.782904,-8.930216,,,balcaoagricolagarcia.7199@amanhecer.pt,"https://www.google.com/maps?q=39.782904,-8.930216",
O Braga Supermercados Póvoa do Valado,Rua Direita da Póvoa do Valado nº248 A,3810 - 771,Aveiro,Aveiro,40.57418,-8.59318,,234248753,obraga2.7197@amanhecer.pt,"https://www.google.com/maps?q=40.57418,-8.59318",
O Braga Supermercados Palhaça,Praça São Pedro nº72,3770 - 355,Oliveira do Bairro,Aveiro,40.524868,-8.598523,,234750770,obraga1.7196@amanhecer.pt,"https://www.google.com/maps?q=40.524868,-8.598523",
Minimercado Olhão,Av Dom João VI 144 R/c Esq. Bloco A,8700 - 140,Olhão,Faro,37.032535,-7.854141,,,minimercadoolhao.7195@amanhecer.pt,"https://www.google.com/maps?q=37.032535,-7.854141",
Supermercado Pingo Mel,"Avenida Espanha nº26, R/CH",6000 - 078,Castelo Branco,Castelo Branco,39.829878,-7.481805,,,pingomel.7194@amanhecer.pt,"https://www.google.com/maps?q=39.829878,-7.481805",
Minimercado Narcisox II,Largo Dr. Alves Vieira nº1,2350 - 025,Torres Novas,Santarém,39.55858,-8.48797,,,narcisox2.7193@amanhecer.pt,"https://www.google.com/maps?q=39.55858,-8.48797",
Minimercado Ventosa,Rua Bernardo Martins Lamas nº14,2550 - 380,Cadaval,Lisboa,39.1997,-9.085,,,ventosa.7192@amanhecer.pt,"https://www.google.com/maps?q=39.1997,-9.0850",
Alsan Supermercados,"Av. Nossa Senhora da Consolação, Ferreirim nº44",3640 - 072,Sernancelhe,Viseu,40.939771,-7.502044,,,alsan.7191@amanhecer.pt,"https://www.google.com/maps?q=40.939771,-7.502044",
Minimarco,Av. Bombeiros dos Voluntários de Marco de Canaveses,4630 - 470,Marco de Canaveses,Porto,41.18678,-8.155532,,,minimarco.7190@amanhecer.pt,"https://www.google.com/maps?q=41.186780,-8.155532",
Maria Castanha Mercearia e Granel,Estrada dos Moinhos nº59,2530 - 013,Lourinhã,Lisboa,39.226875,-9.325367,,,mariacastanha.7189@amanhecer.pt,"https://www.google.com/maps?q=39.226875,-9.325367",
Supermercado Sra. de Mércoles,Sra. de Mércoles nº92 D,6000 - 250,Castelo Branco,Castelo Branco,39.825505,-7.481815,,,srademercoles.7188@amanhecer.pt,"https://www.google.com/maps?q=39.825505,-7.481815",
Minimercado Sonhos,Rua da Cruz Vermelha nº7 B,2810 - 196,Almada,Setúbal,38.691587,-9.36276,,,sonhos.7187@amanhecer.pt,"https://www.google.com/maps?q=38.691587,-9.362760",
Supermercado Argozelo,Largo Doutor Manuel Teles nº 11,5320 - 033,Vimioso,Bragança,41.644936,-6.600439,,,argozelo.7186@amanhecer.pt,"https://www.google.com/maps?q=41.644936,-6.600439",
Supermercado Flamenga,Praceta da Flamenga nº2,2660 - 260,Loures,Lisboa,38.810276,-9.158169,,,flamenga.7185@amanhecer.pt,"https://www.google.com/maps?q=38.810276,-9.158169",
Mercadinho Zaabir's II,Rua Vasco da Gama nº1,2520 - 254,Peniche,Leiria,39.3571,-9.37902,,,zaabirs2.7184@amanhecer.pt,"https://www.google.com/maps?q=39.3571,-9.37902",
Supermercado Flôr Do Alentejo,Rua 1º de Dezembro nº93 A,7230 - 042,Barrancos,Beja,38.134705,-6.977196,,,flordoalentejo.7183@amanhecer.pt,"https://www.google.com/maps?q=38.134705,-6.977196",
Minimercado Sousela,Estrada São Salvador de Moreira nº392,4620 - 603,Lousada,Porto,41.302467,-8.337314,,,sousela.7181@amanhecer.pt,"https://www.google.com/maps?q=41.302467,-8.337314",
Mercearia Alma Fresca,Rua Principal nº21,2500 - 632,Caldas da Rainha,Leiria,39.44354,-9.06834,,,almafresca.7180@amanhecer.pt,"https://www.google.com/maps?q=39.44354,-9.06834",
Super + 5 (Cendufe),ESTRADA NACIONAL 202 nº262,4970 - 111,Arcos de Valdevez,Viana do Castelo,41.804093,-8.48572,,258453180,super5.7179@amanhecer.pt,"https://www.google.com/maps?q=41.804093,-8.48572",
Centro Comercial Costa - Loja II,Rua de Lagoas nº573,4815 - 687,Vizela,Braga,41.37105,-8.295112,,,costaloja2.7178@amanhecer.pt,"https://www.google.com/maps?q=41.37105,-8.295112",
Centro Comercial Costa - Loja I,Rua de Lagoas nº35/37,4815 - 687,Vizela,Braga,41.371168,-8.28851,,,costaloja1.7177@amanhecer.pt,"https://www.google.com/maps?q=41.371168,-8.288510",
Super Bom Dia,Rua Doutor Armando Gonçalves nº0,3140 - 574,Montemor-o-Velho,Coimbra,40.221905,-8.583545,,,superbomdia.7176@amanhecer.pt,"https://www.google.com/maps?q=40.221905,-8.583545",
Mercado da Su,Rua de São Pedro nº1617,4990 - 825,Ponte de Lima,Viana do Castelo,41.683651,-8.606346,,,mercadodasu.7175@amanhecer.pt,"https://www.google.com/maps?q=41.683651,-8.606346",
Mercado do Povo,Parque Industrial da Covilhã nºLote 6C,6200 - 027,Covilhã,Castelo Branco,40.290263,-7.483826,,,mercadodopovo.7174@amanhecer.pt,"https://www.google.com/maps?q=40.290263,-7.483826",
Mercearia da Boti II,"Largo Rainha Santa Isabel nº1, R/C B",2580 - 372,Alenquer,Lisboa,39.0235,-8.9769,,,merceariadaboti2.7173@amanhecer.pt,"https://www.google.com/maps?q=39.0235,-8.9769",
Fruta Pão,Avenida de Santa Marta nº38 B,2605 - 698,Sintra,Lisboa,38.7976,-9.2355,,,frutapao.7172@amanhecer.pt,"https://www.google.com/maps?q=38.7976,-9.2355",
Supermercado Vilar,Estrada de Vilar nº30 B,3810 - 195,Aveiro,Aveiro,40.62945,-8.64189,,,supermercadovilar.7171@amanhecer.pt,"https://www.google.com/maps?q=40.62945,-8.64189",
A Loja da Vera,Rua de Casais nº1,3780 - 566,Anadia,Aveiro,40.4082,-8.39793,,,alojadavera.7170@amanhecer.pt,"https://www.google.com/maps?q=40.40820,-8.39793",
Minimercado Paula,Estrada Municipal  513 nº28A,6215 - 064,Covilhã,Castelo Branco,40.173357,-7.610164,,,minimercadopaula.7169@amanhecer.pt,"https://www.google.com/maps?q=40.173357,-7.610164",
Mercado da Vila,Largo S. João Batista nºs/n,6270 - 282,Seia,Guarda,40.400102,-7.712812,,,mercadodavila.7168@amanhecer.pt,"https://www.google.com/maps?q=40.400102,-7.712812",
A Lojinha da Lurdes,"Rua 1º de Dezembro nº62, R/C",2330 - 085,Entroncamento,Santarém,39.467804,-8.477381,,249108602,lojinhadalurdes.7167@amanhecer.pt,"https://www.google.com/maps?q=39.467804,-8.477381",
Frescos Supermercados III,Rua dos Combatentes da Grande Guerra nº189,5300 - 113,Bragança,Bragança,41.80565,-6.755719,,,frescos3.7166@amanhecer.pt,"https://www.google.com/maps?q=41.80565,-6.755719",
Super Monte Real,"Estrada da Base aérea nº301, R/C",2425 - 022,Leiria,Leiria,39.84891,-8.873645,,,supermontereal.7165@amanhecer.pt,"https://www.google.com/maps?q=39.848910,-8.873645",
Mercadinho do Fojo,Rua José Afonso Machado nº14,4715 - 595,Braga,Braga,41.561307,-8.384971,,,mercdofojo.7163@amanhecer.pt,"https://www.google.com/maps?q=41.561307,-8.384971",
Super Constância,Estrada Nacional 3 nº9 B,2250 - 028,Constância,Santarém,39.476731,-8.345379,,,superconstancia.7162@amanhecer.pt,"https://www.google.com/maps?q=39.476731,-8.345379",
Mercado da Vila Santar,Av. Viscondessa de Taveiro nº30,3520 - 147,Nelas,Viseu,40.570528,-7.891662,,232940437,mercadosantar.7161@amanhecer.pt,"https://www.google.com/maps?q=40.570528,-7.891662",
A Mercearia da Torre,Rua Aurélia de Sousa nº12 D,2840 - 422,Seixal,Setúbal,38.614945,-9.10304,,,merceariadatorre.7160@amanhecer.pt,"https://www.google.com/maps?q=38.614945,-9.10304",
Supermercado Moleiro's,Rua 8 de Setembro Nossa Senhora da Ajuda nº42/44,2630 - 096,Arruda dos Vinhos,Lisboa,38.9511,-9.1274,,,moleiros.7159@amanhecer.pt,"https://www.google.com/maps?q=38.9511,-9.1274",
Talhos Maxi,Rua José Gomes de Matos nº1830,4760 - 514,Vila Nova de Famalicão,Braga,41.403703,-8.519253,,252316073,talhosmaxi.7158@amanhecer.pt,"https://www.google.com/maps?q=41.403703,-8.519253",
Mercearia da Glória - Massamá,Largo Dom Afonso Henriques nº2,2745 - 704,Sintra,Lisboa,38.7521,-9.2826,,,gloriamassama.7157@amanhecer.pt,"https://www.google.com/maps?q=38.7521,-9.2826",
